start,end,id,total_len,country,mode,devicetype,language,consent,relationship,income_reference,income_year,income_month,income_week,country_birth_mother,country_birth_father,country_birth_partner,municipality_years,children_hh,children_out,childr_n_0to5,childr_n_6to15,others_n,grandchildren,pets__1,pets__2,pets__3,pets__4,pets__5,pets__6,contract,worklife_balance,telework,rand1,loneliness_djg_a,loneliness_djg_b,loneliness_djg_c,loneliness_djg_d,loneliness_djg_e,loneliness_djg_f,family_meet_face,family_meet_tele,family_n__1,family_n__1__open,friends_meet_face,friends_meet_tele,friends_n__1,friends_n__1__open,neighbours,social_support_a,social_support_b,social_support_c,social_support_d,relationship_happiness,social_activities_a,social_activities_b,social_activities_c,loneliness_ucla_a,loneliness_ucla_b,loneliness_ucla_c,relationship_need,loneliness_direct,loneliness_intensity,life_events__1,life_events__2,life_events__3,life_events__4,life_events__5,life_events__6,life_events__7,life_events__8,life_events__9,life_events__10,life_events__11,life_events__12,lost_spouse,interventions_heard,interventions_done__1,interventions_done__2,interventions_done__3,interventions_done__4,interventions_done__5,interventions_done__6,interventions_done__7,interventions_done__8,interventions_done__9,interventions_done__10,interventions_done__11,interventions_done__12,interventions_done__13,interventions_done__14,interventions_done__15,interventions_done__16,loneliness_work_a,loneliness_work_b,loneliness_work_c,loneliness_education_a,loneliness_education_b,loneliness_education_c,loneliness_stigma1,loneliness_stigma2,sm_purpose_a,sm_purpose_b,sm_purpose_c,sm_purpose_d,sm_purpose_e,sm_time_a,sm_time_b,sm_time_c,sm_time_d,feelings_nerv,feelings_hopel,feelings_restl,feelings_depr,feelings_worthl,risk_a,risk_b,risk_c,civic_attitudes_a,civic_attitudes_b,civic_attitudes_c,trust,vote,vote_open,child_health,child_health_relatives_1,child_health_relatives_2,child_health_relatives_3,child_health_relatives_4,child_health_relatives_5,child_health_relatives_6,child_relationship_a,child_relationship_b,child_friends,religion_child,religion_now,health_general,smoking,gender,date_birth_month,date_birth_year,age,age_class,country_birth_yourself,sex_orientation,education,adults_n,region_residence,municipality_type,work_status,main_job,occupation,nace_sector,income_source,exercise,health_condition,health_condition_intensity,w_country,w_country_5,w_design
19 Nov 22,24 Nov 22,1193,1457.712,France,Online,Laptop/PC,fr,"Yes, I agree",Married or cohabitating,Your household's annual income,Income decile 8,,,France,France,France,20,2,0,0,0,0,No,Cat,,,,Other,,Unlimited duration,7,I worked more than half time from home,loneliness_djg first,No,No,No,Yes,Yes,Yes,Every week,More than once a week,Number,20,More than once a week,Daily,Number,30,Several times a week,Most of the time,Some of the time,All of the time,Some of the time,5,More than once a week,Once a month,Every two months or less frequently,Some of the time,Hardly ever or never,Hardly ever or never,More than once a week,A little of the time,2,,,Diagnosis of severe illness or life-threatening injury of a close family member,,,,COVID-19 infection of yourself,COVID-19 infection of a member of your household,,,,,,Yes,,,,,,,,,,,Took time for myself,,,,,,Rarely,Always,Rarely,,,,An issue that has implications for the individual as well as for the wider society,Both equally,6 to 15 times a day,Never,Once a day or less,Never,6 to 15 times a day,Never,31–60 minutes per day,Never,1–2 hours per day,Rarely,Occasionally,Rarely,Never,Never,2,2,2,7,8,3,5,Europe Ecologie Les Verts (EELV),,Very good,Smoke heavily,,,,,,5,2,Sometimes,Once a week,Never,Average,"No, I don’t smoke at all",Female,March,1972,50,46-55,France,Heterosexual/straight,ISCED 7: Master’s or equivalent level,2,Normandie,A rural area or village,"In paid work (or away temporarily) (employee, self-employed, working for your family business)","An employee, working part-time","Higher administrator occupations (e.g., banker – executive in big business – high government official – union official)",Services relating to education,Wages or salaries,2 days,Yes,"Yes, a little",.29057541,.21388343,1.2470711
24 Nov 22,24 Nov 22,1194,2137.5491,Poland,Telephone,Laptop/PC,pl,"Yes, I agree",Separated or divorced,Your household's monthly income,,Income decile 3,,Ukraine,Ukraine,,0,0,1,0,0,1,No,,,,,,No pet at home,,,,loneliness_ucla first,Yes,Yes,Yes,No,More or less,More or less,Every two months or less frequently,Every week,Number,5,Every two months or less frequently,Every two weeks,Number,15,Almost every day,A little of the time,A little of the time,Most of the time,Some of the time,,Every two months or less frequently,Every two months or less frequently,Every two months or less frequently,Some of the time,Some of the time,Often,Every two months or less frequently,Most of the time,9,,,,,,,COVID-19 infection of yourself,,,Severe conflicts at work (with colleagues and/or manager),,,,Yes,,,,Looked for self-help from books or online or called a support hotline,,,Contacted a church or religious organisation,,Volunteered,,Took time for myself,,,,,,,,,,,,An issue that has implications for the individual as well as for the wider society,Both equally,2 to 5 times a day,Never,Once a day or less,Once a day or less,Once a day or less,10-30 minutes per day,31–60 minutes per day,Never,Never,Occasionally,Occasionally,Very frequently,Very frequently,Very frequently,5,7,6,9,7,10,8,I don't know,,Don’t know,,,"Had chronic, severe illnesses, disabilities or accidents",,,,8,10,Always,Once a week,Once a month,Average,"No, I don’t smoke at all",Female,December,1986,35,26-35,Ukraine,Other sexual orientation,ISCED 7: Master’s or equivalent level,2,Makroregion Pólnocno-Zachodni,Large town/city,Unemployed and actively looking for a job,,,,Any other social benefits or grants,2 days,Don’t know,,1.0370258,.39911342,1.000641
24 Nov 22,24 Nov 22,1195,1221.637,Poland,Online,Laptop/PC,pl,"Yes, I agree",Married or cohabitating,Your household's monthly income,,Income decile 6,,Poland,Poland,Poland,19,0,2,0,0,0,"Yes, but I do not look after them regularly",Cat,,,,,,,,,loneliness_djg first,No,No,No,Yes,Yes,Yes,Once a month,Every week,Number,10,Every week,Daily,Number,8,Almost every day,All of the time,All of the time,All of the time,All of the time,9,Once a month,Every two weeks,Every week,Hardly ever or never,Hardly ever or never,Hardly ever or never,More than once a week,A little of the time,1,,,,,,Retirement,COVID-19 infection of yourself,,,,,,,No,"Seeing friends, family members, or other loved ones",,Doing sports with others,,,,,,,Used more social media,Took time for myself,,,,,,,,,,,,An issue that has implications for the individual as well as for the wider society,Both equally,2 to 5 times a day,Once a day or less,2 to 5 times a day,2 to 5 times a day,2 to 5 times a day,2–3 hours per day,1–2 hours per day,Never,31–60 minutes per day,Rarely,Never,Occasionally,Occasionally,Never,1,3,1,9,3,7,8,Koalicja Obywatelska (KO),,Fairly good,,,,,None of the above,,6,8,Most of the time,Once a week,Never,Fairly good,"No, I don’t smoke at all",Female,June,1966,56,56-65,Poland,Heterosexual/straight,ISCED 7: Master’s or equivalent level,2,Makroregion Pólnocny,A rural area or village,Retired,,,,Pensions,2 days,No,,.43272579,.46418852,1.310517
24 Nov 22,24 Nov 22,1196,2287.4009,Sweden,Online,Smartphone,sv,"Yes, I agree",Widowed,Your household's monthly income,,Income decile 3,,Sweden,Sweden,,9,0,0,0,0,0,No,,,,,,No pet at home,,,,loneliness_djg first,No,No,No,Yes,More or less,Yes,Every two weeks,Every week,Number,10,More than once a week,More than once a week,Number,2,Almost every day,Most of the time,Some of the time,Most of the time,A little of the time,,Never,Every two weeks,Never,Some of the time,Some of the time,Hardly ever or never,Once a month,A little of the time,5,,,,,,,,,,,None of the above,,No,Yes,,,,,,,,,,,,Wanted to do something but did not know what to do,,,,,,,,,,,An issue that has implications for the individual as well as for the wider society,Both equally,2 to 5 times a day,Once a day or less,2 to 5 times a day,Once a day or less,Once a day or less,10-30 minutes per day,Never,2–3 hours per day,4-5 hours per day,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Doesn't apply,7,2,8,4,1,6,I don't know,,Fairly good,Smoke heavily,,,,,,10,10,Sometimes,On specific holidays only,Never,Fairly good,"No, I don’t smoke at all",Female,October,1941,81,65+,Sweden,Prefer not to answer,ISCED 6: Bachelor’s or equivalent level,1,Östra Sverige,Large town/city,Other,,,,Pensions,5 days,Prefer not to answer,,.71145195,.90258658,.88142109
23 Nov 22,24 Nov 22,1197,1666.562,Poland,Telephone,Laptop/PC,pl,"Yes, I agree",Married or cohabitating,Your household's monthly income,,Income decile 4,,Poland,Poland,Poland,55,0,0,0,0,0,No,,,,,,No pet at home,,,,loneliness_djg first,No,No,No,Yes,Yes,Yes,Daily,More than once a week,Number,6,More than once a week,More than once a week,Number,0,Almost every day,None of the time,Most of the time,Some of the time,Some of the time,1,Never,Every two months or less frequently,Every two months or less frequently,Some of the time,Some of the time,Hardly ever or never,Every two weeks,Some of the time,5,,Diagnosis of severe illness or life-threatening injury,Diagnosis of severe illness or life-threatening injury of a close family member,,,,,,,,,,,Yes,"Seeing friends, family members, or other loved ones",,Doing sports with others,,,,Contacted a church or religious organisation,,,,Took time for myself,,,,,,,,,,,,An issue that has implications for the individual as well as for the wider society,Feeling lonely is mostly due to factors and circumstances beyond a person’s control,Never,Once a day or less,Never,Never,Once a day or less,31–60 minutes per day,Less than 10 minutes per day,Never,10-30 minutes per day,Rarely,Rarely,Rarely,Occasionally,Never,5,10,5,5,1,1,6,Prawo i Sprawiedliwość (PiS),,Very good,,,,,None of the above,,10,10,Most of the time,Once a week,Once a week,Average,"No, I don’t smoke at all",Male,March,1960,62,56-65,Poland,Heterosexual/straight,ISCED 4: Post-secondary non-tertiary education,3,Makroregion Wschodni,Small or medium-sized town,Retired,,,,Pensions,0 days,No,,3.0000999,3.000098,1.3097345
23 Nov 22,24 Nov 22,1198,898.59003,Italy,Online,Laptop/PC,it,"Yes, I agree",Married or cohabitating,Don't know,,Don't know,,Italy,Italy,Italy,14,2,0,0,1,0,"Yes, but I do not look after them regularly",,,,,,No pet at home,Unlimited duration,9,I worked more than half time onsite at a workplace,loneliness_ucla first,No,No,No,Yes,Yes,Yes,Every week,More than once a week,Number,10,Every week,Every week,Number,15,Almost every day,All of the time,All of the time,All of the time,All of the time,9,Every two months or less frequently,Every two weeks,Never,Some of the time,Hardly ever or never,Hardly ever or never,More than once a week,None of the time,,,,,,,,COVID-19 infection of yourself,COVID-19 infection of a member of your household,,,,,,Yes,,,,,,,,,,,,,,,,,Never,Most of the time,Most of the time,,,,An issue that has implications for the individual as well as for the wider society,Feeling lonely is mostly due to factors and circumstances beyond a person’s control,2 to 5 times a day,2 to 5 times a day,Once a day or less,2 to 5 times a day,6 to 15 times a day,1–2 hours per day,10-30 minutes per day,Never,2–3 hours per day,Occasionally,Never,Occasionally,Never,Never,1,1,1,10,10,10,8,Partito Democratico (PD),,Very good,,,,,None of the above,,10,10,Always,Once a week,Once a week,Fairly good,"No, I don’t smoke at all",Female,July,1973,49,46-55,Italy,Heterosexual/straight,ISCED 3: Upper secondary education,3,Nord-Est,A rural area or village,"In paid work (or away temporarily) (employee, self-employed, working for your family business)","An employee, working full-time","Clerical occupations (e.g., secretary – clerk – office manager – book keeper)","Commerce, transport, accommodation or food services",Income from self-employment,2 days,No,,2.2654006,2.4642577,1.8746427
24 Nov 22,24 Nov 22,1199,1046.384,Poland,Online,Smartphone,pl,"Yes, I agree",Separated or divorced,Your household's monthly income,,Income decile 5,,Poland,Poland,,1,0,1,0,1,0,No,Cat,Dog,,,,,Unlimited duration,5,I worked more than half time onsite at a workplace,loneliness_ucla first,No,No,No,No,No,More or less,Daily,Daily,Number,5,Daily,Daily,Number,1,Several times a week,Most of the time,All of the time,Most of the time,Most of the time,,Never,Never,Never,Some of the time,Some of the time,Hardly ever or never,Once a month,Don’t know,,,,,,,,,,,,None of the above,,,Yes,,,,,,,,,,,,Wanted to do something but did not know what to do,,,,,Never,Most of the time,Most of the time,,,,An issue that is limited to the individual concerned,Don’t know,6 to 15 times a day,Once a day or less,Never,2 to 5 times a day,Once a day or less,10-30 minutes per day,Less than 10 minutes per day,Never,1–2 hours per day,Never,Never,Never,Very rarely,Never,4,8,5,7,3,3,3,Ruch Polska 2050 Szymona Hołowni,,Don’t know,,,,,None of the above,,9,8,Sometimes,Once a week,Never,Fairly good,"Yes, I smoke 10 or more cigarettes on average per day",Male,February,1976,46,46-55,Poland,Heterosexual/straight,ISCED 3: Upper secondary education,1,Makroregion Poludniowy,Small or medium-sized town,"In paid work (or away temporarily) (employee, self-employed, working for your family business)","An employee, working full-time","Professional and technical occupations (e.g., doctor – teacher – engineer – artist – accountant)","Supply of gas, electricity or water, mining or quarrying",Wages or salaries,3 days,Yes,"Yes, a little",1.9534092,1.7392204,1.1285007
24 Nov 22,24 Nov 22,1200,1251.3521,France,Online,Smartphone,fr,"Yes, I agree",Single,Your household's monthly income,,Income decile 5,,France,France,,16,0,0,0,1,0,,Cat,,,,,,,,,loneliness_djg first,No,More or less,No,More or less,More or less,Yes,Every two months or less frequently,Once a month,Number,8,Every week,Daily,Number,10,Almost every day,Some of the time,Most of the time,None of the time,A little of the time,,Every week,Once a month,Never,Hardly ever or never,Hardly ever or never,Hardly ever or never,Once a month,A little of the time,4,,,Diagnosis of severe illness or life-threatening injury of a close family member,,,,,COVID-19 infection of a member of your household,,,,,,Yes,"Seeing friends, family members, or other loved ones",Doing sports alone,Doing sports with others,,,Contacted a specialised charity/association/ Non-Governmental Organizations,,"Joined a club or a group (e.g., a sport club, an association, a trade union, a party)",Volunteered,Used more social media,,,,,,,,,,Rarely,Most of the time,Most of the time,An issue that has implications for the individual as well as for the wider society,Feeling lonely is mostly due to factors and circumstances beyond a person’s control,2 to 5 times a day,6 to 15 times a day,2 to 5 times a day,6 to 15 times a day,Over 30 times a day,2–3 hours per day,31–60 minutes per day,Never,31–60 minutes per day,Occasionally,Very rarely,Very rarely,Never,Never,3,3,5,7,8,8,6,I don't know,,Very good,,,,,None of the above,,9,9,Most of the time,Never,Never,Very good,"No, I don’t smoke at all",Female,May,2006,16,16-25,France,Bisexual,ISCED 2: Lower secondary education,3,Centre - Val de Loire,Small or medium-sized town,In education,,,,Wages or salaries,4 days,No,,3.0000451,3.0000451,1.0854439
24 Nov 22,24 Nov 22,1201,971.45203,Poland,Online,Laptop/PC,pl,"Yes, I agree",In a relationship,Don't know,,Don't know,,Poland,Poland,Poland,34,2,0,2,0,0,No,,,,,,No pet at home,Unlimited duration,4,I worked more than half time onsite at a workplace,loneliness_djg first,No,No,No,Yes,Yes,Yes,More than once a week,More than once a week,Number,15,Every two weeks,Every week,Number,6,Almost every day,All of the time,All of the time,All of the time,All of the time,10,Never,Every two months or less frequently,Never,Hardly ever or never,Hardly ever or never,Hardly ever or never,Every two weeks,None of the time,,,,,,,,COVID-19 infection of yourself,,,,,,,Yes,,,,,,,,,,,,,,,,,Never,Sometimes,Sometimes,,,,An issue that has implications for the individual as well as for the wider society,Both equally,Once a day or less,Once a day or less,Never,2 to 5 times a day,Once a day or less,31–60 minutes per day,10-30 minutes per day,10-30 minutes per day,2–3 hours per day,Never,Never,Never,Very rarely,Never,1,1,3,9,5,8,6,I don't know,,Fairly good,,,,,None of the above,,8,6,Most of the time,More than once a week,Once a week,Average,"No, I smoke less than 10 cigarettes on average per day",Male,January,1988,34,26-35,Poland,Heterosexual/straight,ISCED 3: Upper secondary education,2,Makroregion Poludniowy,Small or medium-sized town,"In paid work (or away temporarily) (employee, self-employed, working for your family business)","An employee, working full-time","Skilled worker (e.g., foreman – motor mechanic – printer – tool and die maker – electrician)","Supply of gas, electricity or water, mining or quarrying",Wages or salaries,2 days,No,,3.0000999,3.000098,1.2538897
24 Nov 22,24 Nov 22,1202,1002.31,Sweden,Online,Laptop/PC,sv,"Yes, I agree",Married or cohabitating,Your household's monthly income,,Income decile 6,,Sweden,Sweden,Sweden,47,0,2,0,0,0,"Yes, but I do not look after them regularly",,,,,,No pet at home,,,,loneliness_ucla first,More or less,More or less,More or less,No,More or less,More or less,Once a month,Every week,Number,2,Every two months or less frequently,Once a month,Prefer not to say,,About once a week,Some of the time,Most of the time,Most of the time,Most of the time,9,Every two months or less frequently,Once a month,Every two months or less frequently,Some of the time,Some of the time,Some of the time,Every week,Some of the time,5,,,,,,,,,,,None of the above,,,No,"Seeing friends, family members, or other loved ones",Doing sports alone,,,,,,,,,Took time for myself,,,,,,,,,,,,An issue that has implications for the individual as well as for the wider society,Both equally,2 to 5 times a day,Once a day or less,Never,Once a day or less,Never,Less than 10 minutes per day,Never,Never,2–3 hours per day,Very rarely,Occasionally,Rarely,Occasionally,Very rarely,5,5,5,3,4,3,5,Sverigedemokraterna (SD),,Fairly good,,,,,None of the above,,3,4,Most of the time,Never,Never,Fairly good,"No, I don’t smoke at all",Male,June,1955,67,65+,Sweden,Don’t know,ISCED 2: Lower secondary education,2,Södra Sverige,Small or medium-sized town,Retired,,,,Pensions,7 days,Don’t know,,.92592573,.93919885,.88142109
20 Nov 22,24 Nov 22,1203,1953.061,Italy,Online,Laptop/PC,it,"Yes, I agree",Married or cohabitating,Your household's annual income,Income decile 5,,,Italy,Italy,Italy,71,0,2,0,0,0,"Yes, and I look after them regularly",,,,,,No pet at home,,,,loneliness_djg first,No,No,No,More or less,More or less,Yes,Every week,More than once a week,Number,10,More than once a week,Daily,Number,6,1-3 times a month,All of the time,All of the time,All of the time,All of the time,10,Never,Every two months or less frequently,Never,Hardly ever or never,Hardly ever or never,Hardly ever or never,More than once a week,None of the time,,,,,,,,,COVID-19 infection of a member of your household,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,An issue that has implications for the individual as well as for the wider society,Both equally,Prefer not to say,2 to 5 times a day,2 to 5 times a day,Once a day or less,Once a day or less,10-30 minutes per day,Less than 10 minutes per day,10-30 minutes per day,Never,Occasionally,Occasionally,Rarely,Very rarely,Never,9,2,1,9,9,8,8,Prefer not to say,,Average,,,,,,Prefer not to say,9,9,Sometimes,Once a month,Prefer not to say,Fairly good,"No, I don’t smoke at all",Male,February,1951,71,65+,Italy,Heterosexual/straight,ISCED 3: Upper secondary education,2,Nord-Est,Small or medium-sized town,Retired,,,,Pensions,1 days,Yes,Not at all,2.8947306,2.9998631,.97211981
23 Nov 22,24 Nov 22,1204,2891.3059,Poland,Online,Laptop/PC,pl,"Yes, I agree",Separated or divorced,Your household's monthly income,,Income decile 2,,Poland,Poland,,50,1,3,2,1,2,"Yes, but I do not look after them regularly",Cat,Dog,,,,,I don't have a contract,3,I worked more than half time onsite at a workplace,loneliness_djg first,More or less,Yes,More or less,More or less,More or less,More or less,Every two months or less frequently,Once a month,Number,8,Every two weeks,More than once a week,Number,10,Several times a week,Don’t know,Some of the time,All of the time,Some of the time,,Never,Every two months or less frequently,Once a month,Some of the time,Some of the time,Some of the time,Once a month,Some of the time,3,,,Diagnosis of severe illness or life-threatening injury of a close family member,Loss of employment,,,COVID-19 infection of yourself,,Severe conflicts at home (with spouse/ partner and/or family members),,,,,Yes,"Seeing friends, family members, or other loved ones",,,Looked for self-help from books or online or called a support hotline,,,,,,Used more social media,,,,,,,Not applicable,Not applicable,Not applicable,,,,An issue that has implications for the individual as well as for the wider society,Both equally,Once a day or less,Once a day or less,Once a day or less,Never,Once a day or less,31–60 minutes per day,Less than 10 minutes per day,Never,Less than 10 minutes per day,Very frequently,Rarely,Occasionally,Very frequently,Occasionally,5,2,4,8,Prefer not to say,3,6,Prawo i Sprawiedliwość (PiS),,Don’t know,Smoke heavily,,,,,,4,2,Most of the time,Once a month,Don’t know,Average,"Yes, I smoke 10 or more cigarettes on average per day",Female,March,1963,59,56-65,Poland,Prefer not to answer,ISCED 3: Upper secondary education,3,Makroregion Poludniowy,A rural area or village,"In paid work (or away temporarily) (employee, self-employed, working for your family business)","An employee, working full-time","Service occupations (e.g., restaurant owner – police officer – waiter – caretaker – barber – armed forces)","Commerce, transport, accommodation or food services",Wages or salaries,3 days,Yes,"Yes, a little",3.0000999,3.000098,1.310517
18 Nov 22,23 Nov 22,1205,760.992,Poland,Online,Smartphone,pl,"Yes, I agree",In a relationship,Your household's weekly income,,,Income decile 10,Poland,Poland,Poland,1,1,0,0,0,0,No,,Dog,,,,,,5,I worked more than half time onsite at a workplace,loneliness_djg first,No,No,No,Yes,Yes,Yes,Daily,Daily,Number,2,Every two weeks,Every week,Number,3,Almost every day,All of the time,All of the time,All of the time,All of the time,9,Never,Every two months or less frequently,Once a month,Hardly ever or never,Hardly ever or never,Hardly ever or never,More than once a week,None of the time,,,,Diagnosis of severe illness or life-threatening injury of a close family member,,,,,,Severe conflicts at home (with spouse/ partner and/or family members),,,,,Yes,,,,,,,,,,,,,,,,,Not applicable,Not applicable,,,,,An issue that has implications for the individual as well as for the wider society,People who feel lonely mostly have themselves to blame for their loneliness,Once a day or less,2 to 5 times a day,Never,Once a day or less,Once a day or less,10-30 minutes per day,10-30 minutes per day,10-30 minutes per day,Never,Occasionally,Never,Never,Rarely,Never,6,5,8,8,3,4,7,Ruch Polska 2050 Szymona Hołowni,,Average,Smoke heavily,Drink heavily,,,,,2,2,Most of the time,Once a week,Never,Fairly good,"No, I don’t smoke at all",Female,October,1977,45,36-45,Poland,Prefer not to answer,ISCED 6: Bachelor’s or equivalent level,1,Makroregion Pólnocno-Zachodni,A rural area or village,"In paid work (or away temporarily) (employee, self-employed, working for your family business)",Prefer not to answer,Prefer not to say,Prefer not to answer,Don’t know,Prefer not to answer,Prefer not to answer,,.52657139,.63360423,.59049457
23 Nov 22,23 Nov 22,1206,1642.854,France,Online,Laptop/PC,fr,"Yes, I agree",Married or cohabitating,Your household's monthly income,,Income decile 9,,France,France,France,25,0,1,0,0,0,No,Cat,,,,,,Unlimited duration,6,I worked more than half time onsite at a workplace,loneliness_ucla first,More or less,More or less,No,No,More or less,More or less,Every week,Every two months or less frequently,Number,1,Once a month,More than once a week,Number,6,About once a week,All of the time,Some of the time,Most of the time,Most of the time,7,Never,Every two months or less frequently,Never,Some of the time,Some of the time,Often,Every two weeks,Some of the time,6,,,,,,,COVID-19 infection of yourself,,Severe conflicts at home (with spouse/ partner and/or family members),,,,,No,"Seeing friends, family members, or other loved ones",,,,,,,,,,,,,,,,Rarely,Most of the time,Never,,,,An issue that has implications for the individual as well as for the wider society,Both equally,Never,Never,Never,Never,Once a day or less,Never,Less than 10 minutes per day,Never,Never,Rarely,Never,Never,Occasionally,Never,8,4,5,6,5,4,5,Parti Socialiste (PS),,Very good,,,"Had chronic, severe illnesses, disabilities or accidents",,,,4,6,Always,Never,Never,Average,"No, I don’t smoke at all",Female,August,1970,52,46-55,France,Heterosexual/straight,ISCED 5: Short-cycle tertiary education,2,Nouvelle-Aquitaine,Small or medium-sized town,"In paid work (or away temporarily) (employee, self-employed, working for your family business)","An employee, working full-time","Service occupations (e.g., restaurant owner – police officer – waiter – caretaker – barber – armed forces)",Services relating to health or social care,Wages or salaries,0 days,Yes,Not at all,.20933072,.278101,.65057081
23 Nov 22,23 Nov 22,1207,2372.303,Sweden,Online,Smartphone,sv,"Yes, I agree",Married or cohabitating,Your household's monthly income,,Income decile 7,,United States of America,Sweden,Sweden,16,0,2,0,0,0,"Yes, but I do not look after them regularly",,Dog,,,,,,,,loneliness_djg first,No,No,No,More or less,Yes,Yes,Every two months or less frequently,More than once a week,Number,5,Every two months or less frequently,Every two months or less frequently,Number,2,Several times a week,All of the time,Most of the time,Most of the time,Most of the time,8,Never,Every two months or less frequently,Never,Some of the time,Hardly ever or never,Some of the time,Every week,None of the time,,,,,,,,,,,,None of the above,,,No,,,,,,,,,,,,,,,,,,,,,,,Don’t know,Both equally,Once a day or less,Once a day or less,Never,Once a day or less,Once a day or less,Less than 10 minutes per day,Less than 10 minutes per day,Never,Never,Never,Very rarely,Never,Very rarely,Never,1,5,1,8,2,5,4,Socialdemokraterna (S),,Fairly good,Smoke heavily,,,,,,8,6,Always,Never,Never,Very good,"No, I don’t smoke at all",Male,October,1949,73,65+,Sweden,Heterosexual/straight,ISCED 3: Upper secondary education,2,Östra Sverige,Small or medium-sized town,Retired,,,,Pensions,5 days,No,,.97027552,.56403053,.88142109
23 Nov 22,23 Nov 22,1208,1133.272,Poland,Online,Laptop/PC,pl,"Yes, I agree",Married or cohabitating,Your household's monthly income,,Income decile 10,,Poland,Poland,Poland,12,0,1,0,0,0,No,,,,,,No pet at home,,,,loneliness_djg first,No,Yes,No,More or less,More or less,More or less,Every week,Every week,Number,5,Once a month,Once a month,Prefer not to say,,1-3 times a month,All of the time,Don’t know,Most of the time,All of the time,8,Never,Every two months or less frequently,Never,Some of the time,Hardly ever or never,Hardly ever or never,Every week,Some of the time,4,,,,,,,,,,,None of the above,,,Yes,"Seeing friends, family members, or other loved ones",,,,,,,,,Used more social media,,,,,,,,,,,,,An issue that has implications for the individual as well as for the wider society,Both equally,6 to 15 times a day,Over 30 times a day,Once a day or less,2 to 5 times a day,Once a day or less,2–3 hours per day,Less than 10 minutes per day,Never,4-5 hours per day,Occasionally,Very rarely,Rarely,Very rarely,Very rarely,1,3,3,1,1,5,4,Ruch Polska 2050 Szymona Hołowni,,Very good,,,,,,Prefer not to say,9,7,Most of the time,On specific holidays only,Never,Fairly good,"No, I don’t smoke at all",Male,September,1970,52,46-55,Poland,Heterosexual/straight,ISCED 7: Master’s or equivalent level,2,Makroregion Pólnocno-Zachodni,A rural area or village,Retired,,,,Wages or salaries,5 days,Yes,Not at all,.0054632784,.0078404481,.98472625
23 Nov 22,23 Nov 22,1209,1766.126,Italy,Telephone,Laptop/PC,it,"Yes, I agree",Married or cohabitating,Your household's annual income,Income decile 9,,,Italy,Italy,Italy,27,1,0,0,0,0,"Yes, but I do not look after them regularly",Cat,,,,,,Unlimited duration,10,I worked more than half time onsite at a workplace,loneliness_ucla first,No,No,No,Yes,More or less,Yes,Daily,Once a month,Number,2,Once a month,Once a month,Number,2,Almost every day,All of the time,All of the time,All of the time,All of the time,10,Once a month,Once a month,Once a month,Hardly ever or never,Hardly ever or never,Hardly ever or never,Daily,A little of the time,3,,,,,,,COVID-19 infection of yourself,,,,,,,No,,,,,,,,,,,,,,None of the above,,,Never,Always,Always,,,,An issue that has implications for the individual as well as for the wider society,Both equally,Never,Never,Never,Never,16 to 30 times a day,Never,10-30 minutes per day,Never,1–2 hours per day,Never,Never,Never,Never,Never,1,1,2,8,3,8,8,Partito Democratico (PD),,Fairly good,,,,,None of the above,,10,7,Most of the time,Once a month,Once a month,Fairly good,"No, I don’t smoke at all",Male,September,1961,61,56-65,Italy,Heterosexual/straight,ISCED 6: Bachelor’s or equivalent level,3,Nord-Est,A rural area or village,"In paid work (or away temporarily) (employee, self-employed, working for your family business)","An employee, working full-time","Professional and technical occupations (e.g., doctor – teacher – engineer – artist – accountant)",Services relating to education,Wages or salaries,5 days,No,,.14980525,.18945056,.59387863
19 Nov 22,23 Nov 22,1210,2107.4399,France,Online,Laptop/PC,fr,"Yes, I agree",Married or cohabitating,Don't know,,Don't know,,France,France,United Kingdom,55,0,0,0,0,0,No,Cat,Dog,,,,,,,,loneliness_ucla first,Yes,More or less,No,More or less,More or less,More or less,Every week,Every two weeks,Number,3,Every week,Every two weeks,Number,1,Less than once a month,All of the time,Some of the time,A little of the time,All of the time,9,Never,Every two months or less frequently,Never,Hardly ever or never,Some of the time,Some of the time,Prefer not to say,None of the time,,,,,,,,COVID-19 infection of yourself,COVID-19 infection of a member of your household,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,Don’t know,Both equally,Once a day or less,Never,Never,Never,Never,Never,Less than 10 minutes per day,Never,Never,Occasionally,Never,Occasionally,Never,Very rarely,3,7,2,4,3,4,7,Union des Démocrates et Indépendants (UDI),,Average,,,,,None of the above,,8,6,Sometimes,On specific holidays only,Never,Fairly good,"No, I don’t smoke at all",Male,September,1967,55,46-55,France,Prefer not to answer,ISCED 6: Bachelor’s or equivalent level,2,Nouvelle-Aquitaine,A rural area or village,Other,,,,Income from other sources,7 days,Prefer not to answer,,.39284116,.37364635,1.3011416
